USING TEXT CLASSIFICATION WITH A BAYESIAN CORRECTION FOR ESTIMATING OVERREPORTING IN THE CREDITOR REPORTING SYSTEM ON CLIMATE ADAPTATION FINANCE,Climate Change Adaptation,Climate Change Adaptation,Climate Finance (impact and thematic investments),Climate Finance (impact and thematic investments),2211.16947
,"Though the primary focus is on adaptation, by improving agricultural efficiency and potentially reducing waste, the application has a mitigation impact as well by optimizing resources like fertilizers and supporting better crop choices.","Agriculture is not mentionned from a climat perspective. The authors focus on developping an AI tool that could help farmers, especilly in India","The application aids in agriculture through recommendations for crop types and fertilizers, which are integral to efficient farming practices.","Agriculture is not mentionned from a climat perspective. The authors focus on developping an AI tool that could help farmers, especilly in India",
,,,,,
,,,,,
,,,,,
,,,,,
Towards assessing agricultural land suitability with causal machine learning,Climate Change Adaptation,Climate Change Adaptation,Food Security,Food Security,2204.12956
"This paper focuses on employing causal machine learning to assess the suitability of agricultural land for various management practices such as crop rotation and landscape crop diversity, especially in the context of climate change adaptation. The study uses historical agricultural and climate data from Flanders, Belgium, to evaluate the heterogeneous effects of these practices on Net Primary Productivity (NPP), an indicator of climate regulation. The findings aim to support spatially targeted agricultural policies to enhance ecosystem resilience.",The primary focus is on adapting agricultural practices to be more suitable and resilient in the face of climate change.,,The research aims at ensuring food security by optimizing agricultural land use through climate-adaptive practices.,,
,Climate Change Mitigation,Climate Change Mitigation,Climate Risks Modeling,N/A,
,The paper also addresses the potential for agricultural practices to contribute to climate change mitigation through improved ecosystem services and NPP.,,"The geographical differentiation of agricultural practices based on climate risk evaluation is discussed, aligning with climate risk modeling.",,
,Climate Science,N/A,,,
,The study also involves understanding climate impacts on agriculture through data-driven climate model assessments and earth observations.,,,,
,,,,Agriculture,
Semantic Sensor Network Ontology based Decision Support System for Forest Fire Management,Climate Change Adaptation,Climate Change Adaptation,Forest Management,Forest Management,2204.03059
"This paper presents a Decision Support System (DSS) built using Semantic Sensor Network (SSN) ontology for forest fire management. The system utilizes semantic sensor networks to collect data such as wind speed, temperature, and relative humidity to calculate fire weather indices, aiding in predicting and managing forest fire risks. It includes a web-based mapping interface for visualizing changes in fire weather indices and demonstrates the use of inference rules to improve forest fire management.","The paper is primarily about managing and adapting to forest fire risks, which is a critical aspect of adapting to climate changes and protecting natural resources.",,The focus on forest fire detection and management aligns this work with the sub-category of Forest Management.,,
,Natural Systems Protection,Natural Systems Protection,Climate Risks Modeling,Climate Risks Modeling,
,"The work is also relevant to protecting natural ecosystems, such as forests, from fire destruction.",,"The system involves calculating fire weather indices, which is a form of climate risk modeling for forest fires.",,
Disaster Tweets Classification using BERT-Based Language Model,Climate Change Adaptation,N/A,Relief Efforts,N/A,2202.00795
"The paper discusses the development of a machine learning language model using BERT to classify tweets as indicating 'Disaster' or 'Not Disaster'. The aim is to aid disaster relief organizations by automating the detection of emergencies based on Twitter data. The model addresses challenges associated with processing social media text, including data cleansing and hyperparameter optimization.","The paper's primary focus is on developing a system to detect disasters in real-time via social media, which aligns with climate change adaptation through relief efforts during emergencies.","The authors don't focus on climate-related topics. ""Social networking services have became an important communication channel in time of emergency. The aim of this study is to create a machine learning language model that is able to investigate if a person or area was in danger or not""",The primary sub-category is Relief Efforts as the model aims to aid in mapping and automatically detecting emergencies from Twitter to facilitate timely disaster response.,"The authors don't focus on climate-related topics. ""Social networking services have became an important communication channel in time of emergency. The aim of this study is to create a machine learning language model that is able to investigate if a person or area was in danger or not""",
,,,,,
,,,,,
Personalizing Sustainable Agriculture with Causal Machine Learning,Climate Change Mitigation,Climate Change Mitigation,Agriculture,Agriculture,2211.03179
"The paper discusses the use of causal machine learning to personalize sustainable agricultural practices, with the goal of transforming agriculture from a carbon emitter to a carbon sink. The study focuses on estimating the field-level effects of sustainable practices on Soil Organic Carbon (SOC) content in Lithuania. By leveraging climate data and land use information, the authors propose a framework for providing personalized, actionable recommendations for sustainable agriculture, aiming to expand the global carbon sink.","The primary focus of the paper is on transforming agriculture into a carbon sink, which directly contributes to greenhouse gas reduction and climate change mitigation.",,"The paper focuses on sustainable agricultural practices and their impact on carbon sequestration, aligning with the Agriculture sub-category under Climate Change Mitigation.",,
,Natural Systems Protection,Natural Systems Protection,Biodiversity,N/A,
,"The paper discusses the impact of agricultural practices on soil health, which aligns with the goals of protecting natural systems.",,"While focused on agriculture, the sustainable practices also potentially impact broader ecological systems and biodiversity within agricultural landscapes.","Lands for agriculture are targeted, not the biodiversity.",
,,Climate Change Adaptation,,Farmers Support,
,,,,,
Towards an efficient and risk aware strategy for guiding farmers in identifying best crop management,Climate Change Mitigation,N/A,Agriculture,N/A,2210.04537
"This paper presents a strategy for guiding farmers in identifying the best crop management practices using a bandit algorithm. The authors propose a risk-aware approach to minimize farmers' losses during the identification of optimal fertilizer practices, using Conditional Value-at-Risk (CVaR) and Yield Excess (YE) as metrics. The study demonstrates the effectiveness of the bandit algorithm over traditional methods through simulations in Southern Mali, focusing on nitrogen fertilization for maize production.","The paper addresses reducing environmental impacts and increasing efficiency in agriculture through advanced management practices, aligning with Climate Change Mitigation goals.","Climate-related topics are not central. The authors focus on the best fertilizers strategies in terms of efficiency and productivity. ""We addressed the problem of the identification of best maize fertilizer practices [...]. Our goal was to provide an identification strategy that minimized farmers’ yield losses occurring during field trials, compared to the ‘intuitive strategy’ which consisted of multi-year field trials with an equal proportion of each fertilizer practice tested each growing season"". They only mention climate change as a limit of their work.""As another limit, in simulations, we considered climate to be the same during the 20 years of the experiment.""","The paper is focused on improving agricultural practices by identifying optimal crop management strategies, specifically through nitrogen fertilization techniques.","Climate-related topics are not central. The authors focus on the best fertilizers strategies in terms of efficiency and productivity. ""We addressed the problem of the identification of best maize fertilizer practices [...]. Our goal was to provide an identification strategy that minimized farmers’ yield losses occurring during field trials, compared to the ‘intuitive strategy’ which consisted of multi-year field trials with an equal proportion of each fertilizer practice tested each growing season"". They only mention climate change as a limit of their work.""As another limit, in simulations, we considered climate to be the same during the 20 years of the experiment.""",
,Climate Change Adaptation,N/A,Farmers Support,N/A,
,"The paper deals with adapting crop management strategies to changing weather patterns, which is a key aspect of climate change adaptation.","Climate-related topics are not central. The authors focus on the best fertilizers strategies in terms of efficiency and productivity. ""We addressed the problem of the identification of best maize fertilizer practices [...]. Our goal was to provide an identification strategy that minimized farmers’ yield losses occurring during field trials, compared to the ‘intuitive strategy’ which consisted of multi-year field trials with an equal proportion of each fertilizer practice tested each growing season"". They only mention climate change as a limit of their work.""As another limit, in simulations, we considered climate to be the same during the 20 years of the experiment.""",The focus on providing decision support for farmers to optimize crop management aligns with supporting farmer resilience.,"Climate-related topics are not central. The authors focus on the best fertilizers strategies in terms of efficiency and productivity. ""We addressed the problem of the identification of best maize fertilizer practices [...]. Our goal was to provide an identification strategy that minimized farmers’ yield losses occurring during field trials, compared to the ‘intuitive strategy’ which consisted of multi-year field trials with an equal proportion of each fertilizer practice tested each growing season"". They only mention climate change as a limit of their work.""As another limit, in simulations, we considered climate to be the same during the 20 years of the experiment.""",
"Towards technological adaptation of advanced farming through AI, IoT, and Robotics: A Comprehensive overview",Climate Change Mitigation,N/A,Agriculture,N/A,2202.10459
"This paper explores the implementation and potential of Artificial Intelligence (AI), Internet of Things (IoT), and Robotics in modern agriculture. It addresses technological advances that provide solutions to issues like food security and environmental sustainability, offering detailed insights into how these technologies increase efficiency, reduce resources, and improve overall agricultural productivity. The chapter provides an overview of current implementations, challenges, and future directions for AI, IoT, and Robotic methodologies in agriculture.","The central theme is utilizing technology to enhance agricultural efficiency and sustainability, which aligns with mitigating climate change impacts through advanced farming methods.","The paper focuses on adaptation. Despite the fact that improving agriculture through AI, IoT, and Robotics might help to mitigate climate change, the authors want the humanity to be able to face environmental evolutions and constraints. ""AI, IoT, Robotics based technology is most likely to succeed as the existing technology to power-up against upcoming challenges to successfully handle all situations.""","The entire focus of the paper is on utilizing AI, IoT, and Robotics for improving agricultural practices, thus sitting primarily under the sub-category of Agriculture.","The paper focuses on adaptation. Despite the fact that improving agriculture through AI, IoT, and Robotics might help to mitigate climate change, the authors want the humanity to be able to face environmental evolutions and constraints. ""AI, IoT, Robotics based technology is most likely to succeed as the existing technology to power-up against upcoming challenges to successfully handle all situations.""",
,Climate Change Adaptation,Climate Change Adaptation,Food Security,Food Security,
,"The paper addresses adaptation measures to global warming issues, which is a part of climate change adaptation efforts in agriculture.",,"The paper discusses ensuring food security through advanced technology, which is an adaptation strategy.",,
,,,,Farmers Support,
,,,,,
,,,,,
,,,,,
iGrow: A Smart Agriculture Solution to Autonomous Greenhouse Control,Climate Change Mitigation,N/A,Agriculture,N/A,2107.05464
"The paper presents iGrow, a smart agriculture tool designed for autonomous greenhouse control, optimizing factors such as climate and crop growth to enhance yields and profits. It involves a neural network-based simulator and a bi-level optimization algorithm for refined greenhouse strategy implementation.","The primary focus of the paper is on enhancing agricultural efficiency through AI and IoT, which indirectly supports climate change mitigation by optimizing resource use and reducing emissions associated with agriculture.","Despite the fact that improving agriculture through autonomous greenhouse control might help to mitigate and adapt to climate change, climate-related topics are not mentioned. ""With the global challenge in food caused by the continuous population growth, the transformation and upgrading of the agricultural industry is urgently in need [...]. As a result, the greenhouse industry is expanding rapidly due to the ability to provide fresh food steadily [...]"". ","The paper specifically targets agriculture, focusing on improving greenhouse control for better crop yields and sustainability.","Despite the fact that improving agriculture through autonomous greenhouse control might help to mitigate and adapt to climate change, climate-related topics are not mentioned. ""With the global challenge in food caused by the continuous population growth, the transformation and upgrading of the agricultural industry is urgently in need [...]. As a result, the greenhouse industry is expanding rapidly due to the ability to provide fresh food steadily [...]"". ",
,Climate Change Adaptation,N/A,Food Security,N/A,
,"By increasing agricultural efficiency, the smart greenhouse system indirectly aids in adapting to climate impacts by ensuring food security.","Despite the fact that improving agriculture through autonomous greenhouse control might help to mitigate and adapt to climate change, climate-related topics are not mentioned. ""With the global challenge in food caused by the continuous population growth, the transformation and upgrading of the agricultural industry is urgently in need [...]. As a result, the greenhouse industry is expanding rapidly due to the ability to provide fresh food steadily [...]"". ","Enhanced food production efficiency contributes to food security, a key aspect of climate change adaptation.","Despite the fact that improving agriculture through autonomous greenhouse control might help to mitigate and adapt to climate change, climate-related topics are not mentioned. ""With the global challenge in food caused by the continuous population growth, the transformation and upgrading of the agricultural industry is urgently in need [...]. As a result, the greenhouse industry is expanding rapidly due to the ability to provide fresh food steadily [...]"". ",
Long-term Spatio-Temporal Forecasting via Dynamic Multiple-Graph Attention,Climate Change Mitigation,N/A,Air Pollution,N/A,2204.11008
The paper discusses the challenges and solutions related to long-term spatio-temporal forecasting (LSTF) using multi-graph neural networks (MGNNs). It proposes new graph models and a dynamic graph fusion module to improve predictions in applications like air pollution monitoring and parking recommendation. The study introduces the 'heuristic graph' model for better contextual data integration and proposes a novel dynamic multi-graph fusion approach using spatial and graph attention mechanisms. Extensive experiments on real-world datasets demonstrate the efficacy of the proposed model.,"The primary focus of the paper aligns with climate change mitigation due to its emphasis on applications such as air pollution monitoring and optimizing urban systems, potentially reducing greenhouse gases and improving air quality.","This is a technical paper. It doesn't focus on climate-related topics. ""Many real-world ubiquitous applications, such as parking recommendations and air pollution monitoring, benefit significantly from accurate longterm spatio-temporal forecasting (LSTF).""",The paper’s air pollution monitoring application directly addresses the sub-category of air pollution within the context of climate change mitigation.,"This is a technical paper. It doesn't focus on climate-related topics. ""Many real-world ubiquitous applications, such as parking recommendations and air pollution monitoring, benefit significantly from accurate longterm spatio-temporal forecasting (LSTF).""",
,Climate Science,N/A,Climate Modeling and Predictions,N/A,
,"The use of advanced forecasting and predictive models for tasks like air pollution monitoring falls under climate science, contributing to better understanding and predicting environmental patterns.","This is a technical paper. It doesn't focus on climate-related topics. ""Many real-world ubiquitous applications, such as parking recommendations and air pollution monitoring, benefit significantly from accurate longterm spatio-temporal forecasting (LSTF).""","The methodologies described in the paper for enhancing spatio-temporal forecasting contribute to climate modeling and predictions, aiding in environmental monitoring and management.","This is a technical paper. It doesn't focus on climate-related topics. ""Many real-world ubiquitous applications, such as parking recommendations and air pollution monitoring, benefit significantly from accurate longterm spatio-temporal forecasting (LSTF).""",
Battery Cloud with Advanced Algorithms,Climate Change Mitigation,Climate Change Mitigation,Battery Energy Storage System (BESS),Battery Energy Storage System (BESS),2203.03737
"The paper presents a cloud-based battery management system called Battery Cloud, which leverages IoT and cloud computing to enhance battery safety, performance, and economy. It includes methods for state of charge (SOC) and state of health (SOH) estimation, advanced algorithms for anomaly detection, and potential applications in battery manufacture, recycling, and electric vehicle swaps.","The primary focus of the paper is on enhancing the efficiency and safety of batteries used in electric vehicles and energy storage systems, which are crucial for renewable energy integration and transportation electrification.",,"The paper describes a system that manages and improves the performance of batteries used in energy storage, which is a direct application of Battery Energy Storage System technologies.",,
,Pollution,Pollution,Waste,Waste,
,"The paper briefly mentions recycling as a potential application of the Battery Cloud, which aligns with sustainable waste management.",,The mention of recycling as an application indicates an alignment with waste reduction and management strategies.,,
,,,,Renewable Energy and Grid Optimization,
,,,,,
Battery and Hydrogen Energy Storage Control in a Smart Energy Network with Flexible Energy Demand using Deep Reinforcement Learning,Climate Change Mitigation,Climate Change Mitigation,Battery Energy Storage System (BESS),Battery Energy Storage System (BESS),2208.12779
"This paper introduces a hybrid energy storage system that combines battery and hydrogen storage to address the uncertainties in renewable energy production and consumption. The goal is to enhance renewable energy utilization, reduce energy costs, and lower carbon emissions while maintaining energy stability and reliability. The proposed method utilizes a deep reinforcement learning-based control strategy to optimize scheduling in real-time.","The primary focus of the paper is on reducing carbon emissions and improving renewable energy utilization through the optimization of energy storage systems within smart energy networks, which aligns with climate change mitigation efforts.",,"Battery energy storage system (BESS) plays a central role in the paper's exploration of energy storage control strategies, specifically through optimizing the scheduling of battery and hydrogen storage systems using deep reinforcement learning.",,
,Climate Science,N/A,Renewable Energy and Grid Optimization,Renewable Energy and Grid Optimization,
,"The paper's evaluation is based on simulations from real-world data, contributing to climate data modeling and predictions, albeit indirectly.",,"The paper focuses on optimizing the integration of renewable energy sources like solar and wind into the grid using energy storage systems, directly linking to grid optimization for renewable energy.",,
Proximal Policy Optimization Based Reinforcement Learning for Joint Bidding in Energy and Frequency Regulation Markets,Climate Change Mitigation,Climate Change Mitigation,Battery Energy Storage System (BESS),Battery Energy Storage System (BESS),2212.06551
"The paper presents an advanced approach using proximal policy optimization in reinforcement learning to develop a bidding strategy for Battery Energy Storage Systems (BESS) in energy and frequency regulation markets. The study aims at maximizing the total profit of BESS under uncertain market conditions by participating both in the spot market and the frequency control ancillary services (FCAS) market. The approach is validated using real-world data from the Australian National Electricity Market, demonstrating higher profitability in combined markets than separately.","The paper's primary focus is on using battery energy storage systems for efficiency and optimization in energy grids, contributing to reducing dependence on fossil fuels and increasing renewable energy usage, which aligns with climate change mitigation strategies.",,"The study specifically addresses the operation and optimization of BESS in energy and frequency regulation markets, highlighting how BESS can adapt to and optimize market participation for increased profitability, aligning with this sub-category.",,
,N/A,N/A,N/A,Renewable Energy and Grid Optimization,
,"The paper is predominantly focused on climate change mitigation through energy optimization, specifically with battery energy storage systems. It does not extend into secondary areas significantly.",,"While the study mentions broader market dynamics, its primary focus remains on BESS optimization, without significant exploration of other sub-categories.",,
,,,,,
,,,,,
Transfer Learning and Vision Transformer based State-of-Health prediction of Lithium-Ion Batteries,Climate Change Mitigation,Climate Change Mitigation,Battery Energy Storage System (BESS),Battery Energy Storage System (BESS),2209.05253
"This paper presents a method for predicting the state-of-health (SOH) of lithium-ion batteries by leveraging Vision Transformer (ViT) models combined with transfer learning. The approach captures battery cycle features to predict the SOH, improving prediction accuracy by fine-tuning the model with data from early cycles of a target task battery. Experiments demonstrate better performance compared to existing methods. The research addresses the prediction challenges for lithium-ion battery lifespan in the context of transportation electrification.","The primary focus of the paper is on extending the life and optimizing the performance of lithium-ion batteries, which are a key component of renewable energy storage solutions and electric vehicles, directly contributing to climate change mitigation through improved battery management systems in electric vehicles.",,"The paper specifically deals with state-of-health prediction and management of lithium-ion batteries, which are critical for Battery Energy Storage Systems, emphasizing its role in optimizing battery performance and longevity.",,
,Climate Science,N/A,Climate Modeling and Predictions,N/A,
,"The paper involves the use of advanced prediction methods and modeling techniques (Vision Transformer, deep learning) to improve the understanding and prediction of battery health, aligning with climate science objectives of improving technological responses to climate challenges.",,"Utilization of Vision Transformers and Transfer Learning for predicting battery health embodies advanced modeling and predictive analytics, a key aspect of climate modeling and prediction research areas.",,
,,,,Transportation,
,,,,Renewable Energy and Grid Optimization,
A POMDP Model for Safe Geological Carbon Sequestration,Climate Change Mitigation,Climate Change Mitigation,Carbon Capture and Storage (CCS),Carbon Capture and Storage (CCS),2212.00669
"This paper presents a POMDP model for managing geological carbon sequestration (CCS), focusing on safe storage of CO2 in subsurface formations. It addresses uncertainties in storage formation structure that pose environmental risks. By employing POMDP solvers, the paper compares the performance of these solving techniques against expert baselines, demonstrating improvements in safety and efficiency in CCS operations.",The paper's focus on enhancing the efficiency and safety of geological carbon sequestration directly relates to strategies for Climate Change Mitigation.,,"The paper's primary subject is the development of models to improve CCS processes, which includes considerations for CO2 storage safety, efficacy, and decision-making under uncertainty.",,
,Climate Science,N/A,Climate Modeling and Predictions,N/A,
,"While the primary focus is on mitigating emissions, the paper also explores modeling uncertainties and dynamics in geological formations, which is a detailed scientific aspect within the climate sciences.",,"Part of the paper involves modeling the CO2 storage processes and the associated uncertainties, which falls under the category of climate modeling and predictions.",,
,,,,Carbon Removal,
,,,,,
De-risking Carbon Capture and Sequestration with Explainable CO2 Leakage Detection in Time-lapse Seismic Monitoring Images,Climate Change Mitigation,Climate Change Mitigation,Carbon Capture and Storage (CCS),Carbon Capture and Storage (CCS),2212.08596
The paper discusses the use of deep learning models for detecting CO2 leakage in carbon capture and storage (CCS) projects using time-lapse seismic imaging. It introduces binary classification models to identify CO2 plumes and uses Class Activation Mapping for localization of leakage regions.,"The paper directly addresses Carbon Capture and Storage (CCS) technology, which is a key strategy for reducing atmospheric CO2 levels and mitigating climate change.",,"The paper discusses CCS technology primarily focused on detecting CO2 leakage, which is a direct concern of the CCS process.",,
,Climate Science,N/A,Climate Modeling and Predictions,N/A,
,The use of time-lapse seismic monitoring is an application of climate science techniques to better understand CO2 dynamics in geological formations.,,"The paper involves modeling CO2 dynamics within subsurface geological formations, akin to climate modeling techniques to understand and predict behavior within the CCS context.",,
,,,,,
,,,,,
B-SMART: A Reference Architecture for Artificially Intelligent Autonomic Smart Buildings,Climate Change Mitigation,Climate Change Mitigation,Energy Efficiency in Buildings,Energy Efficiency in Buildings,2211.03219
"The paper introduces B-SMART, a reference architecture designed to accelerate the integration of artificial intelligence in smart buildings to enhance energy efficiency and reduce carbon emissions. It outlines the autonomic systems approach and delineates a framework for the systematic application of AI in smart buildings, addressing gaps in guidance for engineers and architects.","The primary goal of the paper is to present an AI-based architecture for smart buildings, which directly targets reducing energy consumption and carbon emissions, thus contributing to climate change mitigation efforts.",,"The paper focuses on smart building architecture to improve building performance and optimize energy use, fitting well within the sub-category of Energy Efficiency in Buildings.",,
,Climate Change Adaptation,N/A,Renewable Energy and Grid Optimization,Renewable Energy and Grid Optimization,
,"While the primary focus is on reducing emissions, the architecture also supports improved building operations, which can enhance resilience to changing climate patterns.",,"Smart buildings could potentially connect with renewable energy sources and grids, optimizing their operations based on availability and demand.",,
Greenhouse gases emissions: estimating corporate non-reported emissions using interpretable machine learning,Climate Change Mitigation,Climate Change Adaptation,Greenhouse Gases Measurement and Tracking,Greenhouse Gases Measurement and Tracking,2212.10844
"This paper proposes a machine learning-based model to estimate scope 1 and scope 2 greenhouse gas emissions for companies that have not reported their emissions. The model is designed to be interpretable and compares favorably with existing methodologies, yielding more accurate results. It includes a detailed methodological approach and validation against known datasets to ensure its accuracy and robustness.","The paper primarily addresses the measurement and estimation of greenhouse gas emissions, which is a crucial part of efforts to mitigate climate change impacts.",,"The paper's primary focus is on estimating and tracking greenhouse gas emissions using machine learning, fitting this sub-category.",,
,Climate Science,N/A,"Environmental, Social and Governance (ESG) and Disclosures","Environmental, Social and Governance (ESG) and Disclosures",
,"The paper involves the creation of a model that aids in understanding and estimating greenhouse gas emissions, contributing to climate science by providing tools to estimate environmental impacts.",,The paper contributes to ESG by suggesting models for emission estimation that can be used in disclosure processes to meet regulatory requirements and engage stakeholders.,,
,Sustainable Finance,Sustainable Finance,,,
,"It discusses the financial implications of reporting and correctly estimating GHG emissions for businesses, which ties into sustainable finance as companies need to manage and disclose climate-related financial risks and opportunities.",,,,
Accelerated Design and Deployment of Low-Carbon Concrete for Data Centers,Climate Change Mitigation,Climate Change Mitigation,Industry,Industry,2204.05397
